brightness,shutter_speed
3892,748989
3911,743390
3931,737560
3951,731794
3971,726093
3991,720454
4011,714877
4031,709360
4051,703904
4072,698238
4092,692901
4113,687360
4134,681880
4155,676461
4176,671103
4197,665804
4218,660563
4239,655380
4261,650011
4282,644943
4304,639692
4326,634501
4347,629600
4369,624522
4391,619501
4414,614311
4436,609403
4458,604549
4481,599531
4503,594786
4526,589879
4549,585028
4572,580232
4595,575490
4618,570801
4642,565964
4665,561381
4689,556652
4712,552172
4736,547549
4760,542978
4784,538460
4808,533992
4832,529575
4857,525027
4881,520710
4906,516264
4931,511869
4956,507525
4981,503231
5006,499401
5031,496919
5056,494462
5082,491932
5108,489428
5133,487045
5159,484590
5185,482160
5212,479662
5238,477281
5264,474924
5291,472500
5318,470102
5344,467814
5371,465463
5399,463049
5426,460745
5453,458463
5481,456121
5508,453885
5536,451590
5564,449317
5592,447067
5620,444840
5649,442556
5677,440373
5706,438135
5735,435920
5764,433727
5793,431555
5822,429406
5852,427204
5881,425098
5911,422940
5941,420805
5971,418690
6001,416597
6031,414525
6062,412405
6092,410374
6123,408297
6154,406240
6185,404204
6216,402188
6247,400192
6279,398153
6311,396134
6343,394135
6375,392157
6407,390198
6439,388259
6472,386279
6504,384379
6537,382438
6570,380518
6603,378616
6637,376676
6670,374813
6704,372912
6738,371030
6772,369167
6806,367323
6840,365497
6875,363636
6909,361847
6944,360023
6979,358218
7015,356379
7050,354610
7086,352808
7121,351074
7157,349308
7194,347512
7230,345781
7266,344068
7303,342325
7340,340599
7377,338891
7414,337200
7452,335480
7489,333823
7527,332138
7565,330469
7603,328818
7642,327139
7680,325521
7719,323876
7758,322248
7797,320636
7836,319040
7876,317420
7916,315816
7956,314228
7996,312656
8036,311100
8077,309521
8118,307958
8159,306410
8200,304878
8241,303361
8283,301823
8325,300300
8367,298793
8409,297301
8451,295823
8494,294325
8537,292843
8580,291375
8623,289922
8667,288450
8711,286993
8755,285551
8799,284123
8843,282709
8888,281278
8933,279861
8978,278458
9023,277070
9069,275664
9115,274273
9161,272896
9207,271533
9253,270183
9300,268817
9347,267465
9394,266127
9442,264774
9489,263463
9537,262137
9585,260824
9634,259498
9682,258211
9731,256911
9780,255624
9830,254323
9879,253062
9929,251788
9979,250526
10030,249252
10080,248016
10131,246767
10182,245531
10234,244284
10285,243072
10337,241850
10390,240616
10442,239418
10495,238209
10548,237012
10601,235827
10655,234632
10708,233470
10762,232299
10817,231118
10871,229970
10926,228812
10981,227666
11037,226511
11093,225367
11149,224235
11205,223115
11261,222005
11318,220887
11375,219780
11433,218665
11491,217562
11549,216469
11607,215387
11665,214316
11724,213238
11784,212152
11843,211095
11903,210031
11963,208978
12023,207935
12084,206885
12145,205846
12206,204817
12268,203782
12330,202758
12392,201743
12455,200723
12518,199712
12581,198712
12644,197722
12708,196726
12772,195741
12837,194750
12902,193768
12967,192797
13032,191835
13098,190869
13164,189912
13231,188950
13297,188012
13365,187056
13432,186123
13500,185185
13568,184257
13636,183338
13705,182415
13774,181501
13844,180584
13914,179675
13984,178776
14055,177873
14126,176979
14197,176094
14269,175205
14341,174325
14413,173455
14486,172580
14559,171715
14633,170847
14706,169999
14781,169136
14855,168294
14930,167448
15006,166600
15081,165772
15158,164929
15234,164107
15311,163281
15388,162464
15466,161645
15544,160834
15623,160020
15701,159226
15781,158418
15860,157629
15940,156838
16021,156045
16102,155260
16183,154483
16265,153704
16347,152933
16429,152170
16512,151405
16596,150639
16680,149880
16764,149129
16848,148386
16933,147641
17019,146895
17105,146156
17191,145425
17278,144693
17365,143968
17453,143242
17541,142523
17630,141804
17719,141091
17808,140386
17898,139680
17988,138982
18079,138282
18170,137589
18262,136896
18354,136210
18447,135523
18540,134844
18634,134163
18728,133490
18822,132823
18917,132156
19013,131489
19109,130828
19205,130174
19302,129520
19400,128866
19498,128218
19596,127577
19695,126936
19795,126295
19895,125660
19995,125031
20096,124403
20197,123781
20299,123159
20402,122537
20505,121921
20608,121312
20712,120703
20817,120094
20922,119491
21028,118889
21134,118293
21241,117697
21348,117107
21456,116518
21564,115934
21673,115351
21782,114774
21892,114197
22003,113621
22114,113051
22225,112486
22338,111917
22450,111359
22564,110796
22678,110239
22792,109688
22907,109137
23023,108587
23139,108043
23256,107499
23373,106961
23491,106424
23610,105887
23729,105356
23849,104826
23969,104301
24090,103778
24212,103255
24334,102737
24457,102220
24581,101705
24705,101194
24829,100689
24955,100180
25081,99677
25207,99179
25335,98678
25462,98186
25591,97691
25720,97201
25850,96712
25981,96224
26112,95741
26244,95260
26376,94783
26509,94308
26643,93833
26778,93360
26913,92892
27049,92425
27185,91962
27322,91501
27460,91042
27599,90583
27738,90129
27878,89676
28019,89225
28161,88775
28303,88330
28446,87886
28589,87446
28734,87005
28879,86568
29024,86136
29171,85702
29318,85272
29466,84844
29615,84417
29765,83991
29915,83570
30066,83150
30218,82732
30370,82318
30524,81903
30678,81492
30833,81082
30988,80676
31145,80270
31302,79867
31460,79466
31619,79066
31778,78671
31939,78274
32100,77882
32262,77491
32425,77101
32589,76713
32753,76329
32919,75944
33085,75563
33252,75183
33420,74806
33588,74431
33758,74057
33928,73685
34100,73314
34272,72946
34445,72579
34619,72215
34794,71851
34969,71492
35146,71132
35323,70775
35502,70419
35681,70065
35861,69714
36042,69364
36224,69015
36407,68668
36591,68323
36775,67981
36961,67639
37148,67298
37335,66961
37524,66624
37713,66290
37904,65956
38095,65625
38287,65296
38481,64967
38675,64641
38870,64317
39066,63994
39264,63672
39462,63352
39661,63034
39861,62718
40063,62402
40265,62089
40468,61777
40672,61467
40878,61158
41084,60851
41292,60544
41500,60241
41709,59939
41920,59637
42132,59337
42344,59040
42558,58743
42773,58448
42989,58154
43206,57862
43424,57572
43643,57283
43864,56994
44085,56709
44308,56423
44531,56141
44756,55858
44982,55578
45209,55299
45438,55020
45667,54744
45898,54469
46129,54196
46362,53923
46596,53653
46831,53383
47068,53115
47306,52847
47544,52583
47784,52319
48026,52055
48268,51794
48512,51534
48757,51275
49003,51017
49250,50761
49499,50506
49749,50252
50000,50000
