brightness,shutter_speed
856,1933879
857,1931578
858,1929283
859,1926994
860,1924709
861,1922430
862,1920157
863,1917888
864,1915625
865,1913367
866,1911114
867,1908867
868,1906624
869,1904387
870,1902155
871,1899928
872,1897706
873,1895490
874,1893278
875,1891071
876,1888870
877,1886673
878,1884482
879,1882295
880,1880114
881,1877937
882,1875765
883,1873599
884,1871437
885,1869280
886,1867128
887,1864980
888,1862838
889,1860700
890,1858567
891,1856439
892,1854316
893,1852198
894,1850084
895,1847975
896,1845871
897,1843771
898,1841676
899,1839586
900,1837500
901,1835419
902,1833343
903,1831271
904,1829204
905,1827141
906,1825083
907,1823029
908,1820980
909,1818936
910,1816896
911,1814860
912,1812829
913,1810802
914,1808780
915,1806762
916,1804749
917,1802740
918,1800735
919,1798735
920,1796739
921,1794748
922,1792760
923,1790777
924,1788799
925,1786824
926,1784854
927,1782888
928,1780927
929,1778969
930,1777016
931,1775067
932,1773122
933,1771182
934,1769245
935,1767313
936,1765385
937,1763461
938,1761541
939,1759625
940,1757713
941,1755805
942,1753901
943,1752002
944,1750106
945,1748214
946,1746327
947,1744443
948,1742563
949,1740688
950,1738816
951,1736948
952,1735084
953,1733224
954,1731368
955,1729516
956,1727667
957,1725823
958,1723982
959,1722145
960,1720313
961,1718483
962,1716658
963,1714836
964,1713019
965,1711205
966,1709394
967,1707588
968,1705785
969,1703986
970,1702191
971,1700399
972,1698611
973,1696827
974,1695046
975,1693269
976,1691496
977,1689726
978,1687960
979,1686198
980,1684439
981,1682683
982,1680932
983,1679184
984,1677439
985,1675698
986,1673960
987,1672226
988,1670496
989,1668769
990,1667045
991,1665325
992,1663609
993,1661896
994,1660186
995,1658480
996,1656777
997,1655078
998,1653382
999,1651689
1000,1650000
1001,1648314
1002,1646632
1003,1644953
1004,1643277
1005,1641604
1006,1639935
1007,1638270
1008,1636607
1009,1634948
1010,1633292
1011,1631639
1012,1629990
1013,1628344
1014,1626701
1015,1625062
1016,1623425
1017,1621792
1018,1620162
1019,1618535
1020,1616912
1021,1615291
1022,1613674
1023,1612060
1024,1610449
1025,1608841
1026,1607237
1027,1605635
1028,1604037
1029,1602442
1030,1600850
1031,1599260
1032,1597674
1033,1596091
1034,1594512
1035,1592935
1036,1591361
1037,1589790
1038,1588223
1039,1586658
1040,1585096
1041,1583537
1042,1581982
1043,1580429
1044,1578879
1045,1577333
1046,1575789
1047,1574248
1048,1572710
1049,1571175
1050,1569643
1051,1568114
1052,1566587
1053,1565064
1054,1563544
1055,1562026
1056,1560511
1057,1559000
1058,1557491
1059,1555984
1060,1554481
1061,1552981
1062,1551483
1063,1549988
1064,1548496
1065,1547007
1066,1545521
1067,1544037
1068,1542556
1069,1541078
1070,1539603
1071,1538130
1072,1536660
1073,1535193
1074,1533729
1075,1532267
1076,1530809
1077,1529352
1078,1527899
1079,1526448
1080,1525000
1081,1523555
1082,1522112
1083,1520672
1084,1519234
1085,1517800
1086,1516367
1087,1514938
1088,1513511
1089,1512087
1090,1510665
1091,1509246
1092,1507830
1093,1506416
1094,1505005
1095,1503596
1096,1502190
1097,1500786
1098,1499385
1099,1497987
1100,1496591
1101,1495198
1102,1493807
1103,1492418
1104,1491033
1105,1489649
1106,1488269
1107,1486890
1108,1485514
1109,1484141
1110,1482770
1111,1481402
1112,1480036
1113,1478673
1114,1477311
1115,1475953
1116,1474597
1117,1473243
1118,1471892
1119,1470543
1120,1469196
1121,1467852
1122,1466511
1123,1465171
1124,1463835
1125,1462500
1126,1461168
1127,1459838
1128,1458511
1129,1457186
1130,1455863
1131,1454542
1132,1453224
1133,1451909
1134,1450595
1135,1449284
1136,1447975
1137,1446669
1138,1445365
1139,1444063
1140,1442763
1141,1441466
1142,1440171
1143,1438878
1144,1437587
1145,1436299
1146,1435013
1147,1433729
1148,1432448
1149,1431168
1150,1429891
1151,1428616
1152,1427344
1153,1426073
1154,1424805
1155,1423539
1156,1422275
1157,1421013
1158,1419754
1159,1418497
1160,1417241
1161,1415988
1162,1414738
1163,1413489
1164,1412242
1165,1410998
1166,1409756
1167,1408515
1168,1407277
1169,1406041
1170,1404808
1171,1403576
1172,1402346
1173,1401119
1174,1399894
1175,1398670
1176,1397449
1177,1396230
1178,1395013
1179,1393798
1180,1392585
1181,1391374
1182,1390165
1183,1388958
1184,1387753
1185,1386551
1186,1385350
1187,1384151
1188,1382955
1189,1381760
1190,1380567
1191,1379377
1192,1378188
1193,1377001
1194,1375817
1195,1374634
1196,1373453
1197,1372274
1198,1371098
1199,1369923
1200,1368750
1201,1367579
1202,1366410
1203,1365243
1204,1364078
1205,1362915
1206,1361754
1207,1360594
1208,1359437
1209,1358282
1210,1357128
1211,1355976
1212,1354827
1213,1353679
1214,1352533
1215,1351389
1216,1350247
1217,1349106
1218,1347968
1219,1346831
1220,1345697
1221,1344564
1222,1343433
1223,1342304
1224,1341176
1225,1340051
1226,1338927
1227,1337806
1228,1336686
1229,1335568
1230,1334451
1231,1333337
1232,1332224
1233,1331113
1234,1330004
1235,1328897
1236,1327791
1237,1326688
1238,1325586
1239,1324485
1240,1323387
1241,1322290
1242,1321196
1243,1320103
1244,1319011
1245,1317922
1246,1316834
1247,1315748
1248,1314663
1249,1313581
1250,1312500
1251,1311421
1252,1310343
1253,1309268
1254,1308194
1255,1307122
1256,1306051
1257,1304982
1258,1303915
1259,1302849
1260,1301786
1261,1300724
1262,1299663
1263,1298605
1264,1297547
1265,1296492
1266,1295438
1267,1294386
1268,1293336
1269,1292287
1270,1291240
1271,1290195
1272,1289151
1273,1288109
1274,1287068
1275,1286029
1276,1284992
1277,1283957
1278,1282923
1279,1281890
1280,1280859
1281,1279830
1282,1278803
1283,1277777
1284,1276752
1285,1275730
1286,1274708
1287,1273689
1288,1272671
1289,1271654
1290,1270640
1291,1269626
1292,1268615
1293,1267604
1294,1266596
1295,1265589
1296,1264583
1297,1263579
1298,1262577
1299,1261576
1300,1260577
1301,1259579
1302,1258583
1303,1257588
1304,1256595
1305,1255603
1306,1254613
1307,1253625
1308,1252638
1309,1251652
1310,1250668
1311,1249685
1312,1248704
1313,1247725
1314,1246747
1315,1245770
1316,1244795
1317,1243821
1318,1242849
1319,1241878
1320,1240909
1321,1239941
1322,1238975
1323,1238010
1324,1237047
1325,1236085
1326,1235124
1327,1234165
1328,1233208
1329,1232252
1330,1231297
1331,1230344
1332,1229392
1333,1228441
1334,1227493
1335,1226545
1336,1225599
1337,1224654
1338,1223711
1339,1222769
1340,1221828
1341,1220889
1342,1219952
1343,1219015
1344,1218080
1345,1217147
1346,1216215
1347,1215284
1348,1214355
1349,1213427
1350,1212500
1351,1211575
1352,1210651
1353,1209728
1354,1208807
1355,1207887
1356,1206969
1357,1206052
1358,1205136
1359,1204222
1360,1203309
1361,1202397
1362,1201487
1363,1200578
1364,1199670
1365,1198764
1366,1197859
1367,1196955
1368,1196053
1369,1195152
1370,1194252
1371,1193353
1372,1192456
1373,1191560
1374,1190666
1375,1189773
1376,1188881
1377,1187990
1378,1187101
1379,1186213
1380,1185326
1381,1184441
1382,1183556
1383,1182674
1384,1181792
1385,1180912
1386,1180032
1387,1179155
1388,1178278
1389,1177403
1390,1176529
1391,1175656
1392,1174784
1393,1173914
1394,1173045
1395,1172177
1396,1171311
1397,1170446
1398,1169582
1399,1168719
1400,1167857
1401,1166997
1402,1166138
1403,1165280
1404,1164423
1405,1163568
1406,1162713
1407,1161860
1408,1161009
1409,1160158
1410,1159309
1411,1158460
1412,1157613
1413,1156768
1414,1155923
1415,1155080
1416,1154237
1417,1153396
1418,1152556
1419,1151718
1420,1150880
1421,1150044
1422,1149209
1423,1148375
1424,1147542
1425,1146711
1426,1145880
1427,1145051
1428,1144223
1429,1143396
1430,1142570
1431,1141745
1432,1140922
1433,1140099
1434,1139278
1435,1138458
1436,1137639
1437,1136822
1438,1136005
1439,1135189
1440,1134375
1441,1133562
1442,1132750
1443,1131939
1444,1131129
1445,1130320
1446,1129512
1447,1128706
1448,1127901
1449,1127096
1450,1126293
1451,1125491
1452,1124690
1453,1123890
1454,1123091
1455,1122294
1456,1121497
1457,1120702
1458,1119907
1459,1119114
1460,1118322
1461,1117531
1462,1116741
1463,1115952
1464,1115164
1465,1114377
1466,1113591
1467,1112807
1468,1112023
1469,1111241
1470,1110459
1471,1109679
1472,1108899
1473,1108121
1474,1107344
1475,1106568
1476,1105793
1477,1105019
1478,1104246
1479,1103474
1480,1102703
1481,1101933
1482,1101164
1483,1100396
1484,1099629
1485,1098864
1486,1098099
1487,1097335
1488,1096573
1489,1095811
1490,1095050
1491,1094291
1492,1093532
1493,1092775
1494,1092018
1495,1091263
1496,1090508
1497,1089755
1498,1089002
1499,1088251
1500,1087500
1501,1086750
1502,1086002
1503,1085254
1504,1084508
1505,1083762
1506,1083018
1507,1082274
1508,1081532
1509,1080790
1510,1080050
1511,1079310
1512,1078571
1513,1077834
1514,1077097
1515,1076361
1516,1075627
1517,1074893
1518,1074160
1519,1073428
1520,1072697
1521,1071967
1522,1071239
1523,1070511
1524,1069783
1525,1069057
1526,1068332
1527,1067608
1528,1066885
1529,1066163
1530,1065441
1531,1064721
1532,1064001
1533,1063283
1534,1062565
1535,1061849
1536,1061133
1537,1060418
1538,1059704
1539,1058991
1540,1058279
1541,1057568
1542,1056858
1543,1056149
1544,1055440
1545,1054733
1546,1054027
1547,1053321
1548,1052616
1549,1051913
1550,1051210
1551,1050508
1552,1049807
1553,1049107
1554,1048407
1555,1047709
1556,1047012
1557,1046315
1558,1045619
1559,1044925
1560,1044231
1561,1043538
1562,1042846
1563,1042155
1564,1041464
1565,1040775
1566,1040086
1567,1039399
1568,1038712
1569,1038026
1570,1037341
1571,1036657
1572,1035973
1573,1035291
1574,1034609
1575,1033929
1576,1033249
1577,1032570
1578,1031892
1579,1031214
1580,1030538
1581,1029862
1582,1029188
1583,1028514
1584,1027841
1585,1027169
1586,1026497
1587,1025827
1588,1025157
1589,1024489
1590,1023821
1591,1023154
1592,1022487
1593,1021822
1594,1021157
1595,1020494
1596,1019831
1597,1019169
1598,1018508
1599,1017847
1600,1017188
1601,1016529
1602,1015871
1603,1015214
1604,1014557
1605,1013902
1606,1013247
1607,1012593
1608,1011940
1609,1011288
1610,1010637
1611,1009986
1612,1009336
1613,1008687
1614,1008039
1615,1007392
1616,1006745
1617,1006099
1618,1005454
1619,1004810
1620,1004167
1621,1003524
1622,1002882
1623,1002241
1624,1001601
1625,1000962
1626,1000323
1627,999685
1628,999048
1629,998412
1630,997776
1631,997141
1632,996507
1633,995874
1634,995242
1635,994610
1636,993979
1637,993349
1638,992720
1639,992091
1640,991463
1641,990836
1642,990210
1643,989585
1644,988960
1645,988336
1646,987713
1647,987090
1648,986468
1649,985847
1650,985227
1651,984608
1652,983989
1653,983371
1654,982754
1655,982137
1656,981522
1657,980907
1658,980293
1659,979679
1660,979066
1661,978454
1662,977843
1663,977232
1664,976623
1665,976014
1666,975405
1667,974798
1668,974191
1669,973584
1670,972979
1671,972374
1672,971770
1673,971167
1674,970565
1675,969963
1676,969362
1677,968761
1678,968162
1679,967563
1680,966964
1681,966367
1682,965770
1683,965174
1684,964578
1685,963984
1686,963390
1687,962796
1688,962204
1689,961612
1690,961021
1691,960430
1692,959840
1693,959251
1694,958663
1695,958075
1696,957488
1697,956902
1698,956316
1699,955731
1700,955147
1701,954563
1702,953981
1703,953398
